id,cited,target
18155,"3344,7346,18174,22884",2512
14135,"2239,20835,2987",305
18210,"12312,89,13371,3149,4760",776
20435,20675,16593
16171,"17115,6021,22160,9726,18184",21857
12746,17565,5829
20944,"16162,9443,10715",17394
12114,"13660,13291,7182,22311,2644",17597
22493,"658,15254,19680,17035,15584",12463
8822,"18128,2438",10569
22541,"3597,23101,11614,10572,21575,16914,568,9114",10977
2759,"683,7119,12587,5654,5573,18646,574",6970
9611,"12090,4373,13801,2477",13488
1721,"18908,19314,22235",17452
22476,"21584,16339,20575,13089,4595,6470,12166,1398",11061
19981,"12339,3027,21188",18487
14091,"509,17738",20134
7456,"16496,7995",19590
5185,14899,7841
15988,"576,20357,7440,5071,800,12960,17823,3847,17758,9323,10202,11527",14836
15474,"7456,16727,5694,10651,21790,8744,11310,12374,6797,3297,17783",10717
1195,1423,15576
3885,"6842,19021,4025,15891,11627,4624,21442,12703,16855,3317",11700
21139,"7991,1410,3286,22787,6704,17284,3427,10363,6718,7340",15816
1413,19906,12569
18589,21585,12699
5819,"15117,5380",4409
7515,"466,21390",6623
19351,5292,7580
8411,8435,17547
7943,"5142,8672,13680,17228",13396
8171,"12143,15365,1747,13459,20624,11007,8009,20198,2015",18510
16215,"11026,12401,16427,16800,13150,17805,5834",10975
10397,"3528,10561,11773,7710",6681
7464,"17383,4636,17037",10421
8701,"361,8468,4076,848,16898",21648
13960,"5142,18908,7709,1721,19146",19741
16811,"17946,13085,8356,22907,9583",7012
14235,"9500,424,998,11917,13648,20335,6359,8131,10345,18174",13427
7285,18526,9203
1389,"12164,8608,19917,6852,14218",8572
11987,"5230,10707,5974",5842
11424,"21198,19147",17915
16737,"15421,23059,17145,18496,20764,21692,17161,3700,13728,18706,18451,18986,20256,3876,3651,18204,10808,10318",6572
15458,"1731,9746,22407,17832,8070,5556,8955,22136,4170",3247
2634,"17952,19457,3143,7015,22832",22867
20515,"14538,20865,9138,7215,2377,18649",12968
6417,8995,7033
11502,21470,3399
468,22484,20704
8714,"627,11007,8680",20198
13655,"12194,17148,14978,13756",18198
8792,"19432,12762,13713,7685,4688,20764,22793",21771
21193,"11378,3919",4686
21841,"6156,823,5631,17447,20756,22092",20704
4642,7846,6563
10435,9037,12559
22099,3368,4497
19247,"15117,13734,14221,18104,19591,8242,557,20569,22174,12643,21731,17856,19309,22096",18033
14288,"17127,11535,20024,10935,2594,6468,6615",5222
1443,"15765,9059",8237
16624,12216,4458
3094,"6411,2547,22322,18210",5759
3795,2438,21358
20259,5142,6631
14326,"11026,21423,21193,13150,15527,22361,16406,11378,13964,17693,5296,16997",16695
16901,"14580,14069,8672",252
13137,16496,8087
4516,"19152,20017,5263,5784,9670,17568,7182,19886,1887,16386",11368
1680,"14685,21915,19629,5602,6641,15395",2957
10622,"19142,3187,10689",13288
20404,19116,13967
5473,"21006,13691,5506,11639",21478
17970,"8663,15419,15844,7757,3730,44,13927,4544,18099,4775,9796,17503,14227,15833,15171,4731,13740,22372,11007,13298,19198,2758,2745,9052",10734
1784,"6534,8511,3660",14692
2777,"6534,462",16398
9039,"21884,1423,7307,15576,4997,13011,11896,4929,13605,17644",19063
17581,"20082,18424,6557,5512,13902",6349
10950,"11026,6264,22111,6754,20076,5448,6797,3368,15815",432
19263,"11396,12804",8330
4658,"22694,19033,6323",7197
7223,"6409,10315",1769
20930,"11308,18609,350,15751,779,1201,21451",4984
14590,"10294,17849,13706,1440,1410,17769,15633,22446,13691,20978,19070",4549
7343,5868,4626
11687,2182,15735
21376,"21857,10284,17355,22160,3729,18184,16171,17115,14972,9238,14917,10563,6021,6242,9726,16874",1927
12061,"9163,6534,16154",14692
5924,"3526,980,13597,22311",17597
7042,"14032,11376,7745,2874",6323
10889,"16496,3297,22188,7456,5694",10717
5459,21344,7761
15818,"17306,1663,7195,13329,3373,1954,7797,6,17183,9786,3324",619
3891,"20551,11896,9380",3492
18804,"3322,19063",12014
8474,"2295,894,15087,3670,2445,7884,6481,13691,20541,21750,3501",1268
412,21280,3739
12476,"14899,15690,21476,17288,14139,8064",4616
23059,"4140,14296,9570",3904
18867,"1843,21317,9806,8168,17783,12209",15725
18200,"5142,5230,20624",1715
13623,"9537,5208",1144
6005,"15802,4875",6317
12549,"1473,4561,15094",17947
17236,"8025,7605,21340,2703,655",5343
1471,21019,15352
8214,"15477,14451,13691,21386,7650,1649,5506,13000,19843,16180",18614
12853,"20967,10680",13983
15176,"20317,1449,18149,5219,12135,13322,7346,1581,16623,4711,951,7908",21540
11288,"6754,6036,20631,11922,5321,19394,2514,20837",1221
6134,"149,4345,692,15824,17944",21332
11095,"21202,4913,9037,622,12559",7534
2115,"15794,20779,21764,1837,9203,1605,1793",22589
13146,"15522,6816",14971
14211,7784,7783
20269,"20967,8844,8171,11007,7409,14475,12421",2716
1979,"19169,6944,892,20252,17726,496,14073,5477",13674
16723,6358,14246
9404,"6815,693,3353,12905,7439",10977
6367,"5608,12089,3266",1733
21647,"2747,16078,11446,20569,6626",20504
12274,4194,326
16099,"11071,12715,13253,13751,12628",16456
16089,"22023,19166,7589,6801",4107
21783,"14580,9772,4997,8189,252",17984
17469,"20017,18695,6144,3894,11184,22311,2644",17597
3297,"16496,12360,7456,5694,7019,15180,622",7983
12988,1265,16138
14917,"21857,17115,14972,10563,6021,17355,22160,6242,9726,18184",16171
13226,4477,19563
16430,"5650,10617",4432
5434,"10222,14856,9560,7771,7071,21671,18033,5066",5003
14029,"12527,19651,9866,22607,10127,1287,13477,13441,8102,17190,2565",1292
2144,"21318,11008,20317,21145,2531,18410,15639",18046
14486,"5071,4481,1715,14617,10719,16464,16318,9477,14514,16986,20730",9907
22213,"18405,16069,2726,17802,20679,7144,17313",13409
14931,"6534,7344,11380,16007,3660",16154
475,"15737,13015,11570,9294,10444",12202
17106,"6156,1316,1122",1208
17222,"10853,17566",11440
2811,"4294,1055,2672",15154
8582,"9232,7277",16528
17569,"858,14372",4846
4312,"11494,13735,4174",1201
6736,4572,14382
3799,"12335,12667,5577",3185
12029,"4860,2747,20915,4781,13406,1733,15498",19475
3509,"3447,3660,12061",20799
9138,"12394,7215,21070,22989,13336",3807
18996,"17698,11378,19364",6623
10532,"12905,11310,6824,8369",12154
13945,"20774,11131",16561
13601,13740,10734
18637,"4140,21251",18547
5569,4230,20447
17707,"1229,9093,15859,6686",23040
521,"22088,11808,4750",16369
485,10526,13933
14477,"8945,20692,22411,18765,22058",15491
19900,5142,14969
13434,18080,15240
22905,"18345,2445,683,2259,6066,3514,4903",12931
