id,cited,target
5493,4420,3960
9926,"8452,1068,7909,1924,7804,9371,3317,7980,5419",9927
10285,"8832,9047,6787,890,5161,4699,12968,2452,12494,11985,11327,10502,3853,994,10008,5933",7130
2672,"10285,10820,8832,216,3398,10664,11985,1924,6414,9371,5412,7084,750,6054,5419,3185,8683",11468
3864,"5585,9970,8832,11992,4378,1928,7761,12218,9764,2248,5435,8871,8801,6133,8966,3043,10153,3808,6789,1924,9371,12158,7872,6508,553,12710,365,5419,5814,3292,5515,8936,1552,10369,11904",83
8107,"9117,9965,9978,11674,11757,5170,13009",125
3977,7509,1442
8423,9614,6425
5053,"881,4769,3183,12155,941,3109,10145,7412,4247,12999,3934,6970,12138,16,11106,7932,908",9135
374,"5283,4486,10776,11141,9956,7423,10026,118,87,3436,1103,12577,12062,8348,11268,12046,264,1737,5162,2933,9048,5833,796,5244,8692,7701,1748,11997,993,6001,3456,9135,8039,12895,8078,1993,4420,11355,9833,10331",6213
6803,"4820,6538,4950,6946,4727,12367,4588,2403,5786,3736,12490,11870,10988,11442,3243,2068,1701,2338,1385,7581,4334,10629,7942",12639
3562,"6803,844,5639,673,3436,2557,5969,12577,12490,5302,6332,9427,9332,74,12242,1385,4334,7942,11533",13098
69,"10082,2497,4179,9087,2638,2975,3972,3019,5241,934,11828,13268",3314
10181,"4103,6224,8960,7085,2858,3991,3854,3306,6711,7696,8112,12065",11034
2305,"3039,9304,7485",5168
10511,"6259,4134,10438,494,4428,11018,6845,7167,3879,3955,7211,2170,4186,11454,6159,1683,1571,10294,8492,8404,496,2685",8977
6130,"5802,494,11018,3879,4186,10435,9365,3560,7554",12895
12853,"537,11263,9637,12218,7241,13010,4972,6188,11329,1020,1442,10461,2771,9275,9419,1322,4365,3161,5523,5335",3773
438,"9657,2664,13280,2671,6845,2449,5753,7131,11544,7025,3032,5428,6608,11442,5062,2808,317,486,6106,237,5401",5028
6427,"6259,7241,10535,9692,9257,1322,7179",908
11853,"13124,3762,12975,5947,5521,11388,2602,4420",11545
6125,"3822,6845,1322",13157
6375,"5283,555,10988,6204,2034,6236,12954,7655,116",8414
4679,"8,10759,6904,3059,9830,10762,1223,4768,4863,4165,6940",8726
1475,"8,11638,8608,4070",8009
1905,"7451,8281,771,12399,9130,9824,9427,11734,4828",8039
12082,"1905,7451,9393,5882,12399,7048,9824,6567,9427",10857
6492,"1162,1213,3033,3879,4224",8721
12713,"1162,2664,1213,7614,3033,3879,4224,10837,7554,401,12895,8721,7655,5485,2258",8977
12064,"11403,10896,932",1080
13193,"6101,764,10166,11222",10331
6101,"7241,4030,3267,6166,5969,11222,341,11734,1369",3960
8396,"4246,8960,3754,13194,9636,4214,5062,8364,7942,6001,965,1717",6879
8641,"5283,7241,3084,993",7363
4847,"5639,3879,9058",9531
6411,"3033,3109,9014",3972
12739,"10941,4915,7241,9113,3736,11630,10326,7548,6544,8809,8660,10166,3239,3127,1823,3913,10735,2678,6001,4595,31,12970,81,6984,3046,9624,10190,5107",3960
