id,cited,target
12705,"5816,1253,14260",3929
9803,"7131,8319,828",7864
5099,6578,763
4366,8318,5840
11469,"13189,9147,11783",12168
8890,"9964,6859,11251",5084
11902,"6747,2533",6146
2879,"493,10310,4132,12472",14180
8736,"11854,10050,3228,4751",7575
10734,"4190,13772",14260
11658,"2716,12878,3933,1587",12765
10660,6699,3630
4133,5454,3959
2809,"9379,5729",6219
8866,"4084,573,7763,10741,13449,12392,3420,1675,9586,9897",6374
10160,4947,10802
1443,5648,11434
1390,"10281,10302,284,12511,2480",9485
3781,"5364,12018,11303,5285",60
675,"13092,14328,14515,7434,6450,1099",7864
10106,7135,7763
1671,"14131,12219,14267",13685
698,"13904,1983,3384,7931,12776",7168
1109,7625,8261
10654,"6150,7514,11975,3265",7861
3632,"4697,12366,2716,10633,3933,10037,3929,11348,8244",7496
4307,"13894,674,3157,1322",9864
4384,"12385,7088",13559
4912,11418,6827
4661,7734,3652
12870,"524,1826,3265,12168,1581,1031",7861
4922,"11619,12611,7679,8737,11790,1237,12885,3761",8915
6109,"1856,11582,10311,805,4961",5252
8205,"5200,5314,11023,993",11327
8908,"3961,10831,12070,2660,7292,13510",3474
13453,"12643,14260,9952,11934,3933,6932,4548,341,10252",12765
9562,"4545,7734,4697,12739,7449,5147,638,10633,11002,4299,11234",2914
12015,"2939,8185",5061
9427,"10208,13299,3881,3070,4784",11920
8941,"1253,14260,6275,14221,4312,11450",11808
958,"6513,807",6096
9508,1017,14064
636,"7021,1451,14441,3525,7015,1291,6984,711,3431,7953",1256
6078,11957,11825
3833,"13945,1940,8639,10311,4719",1853
8197,7346,1313
10458,"13544,4256,9722,3157,11442",294
3555,5712,4835
11653,"1690,14540,4539,14268",8827
3307,"7377,797,9147,11362",7815
13484,"14211,7307,5125",7999
8848,"9496,8171,3889",5586
11882,"12247,3265,7861",7605
4155,12757,7765
8268,"7884,6849,14442",4339
513,"12305,7842,5472",12758
7659,5056,11186
2229,"1239,14222,3010,579",6390
11813,9726,8980
8612,"6062,3010",6390
6195,"12187,11670,7075,14516",4975
4145,2638,3135
13203,"14112,6283,4263,9713,11311",2838
6037,"13119,11323,6737,641,8515,11689,8111,2997",2509
5657,"1013,186",10652
10307,"14155,9152,6033,4101,6011,6088",712
11599,"14143,1578,6822,4457,5959,8732,2257,6991,1394,8022,8844,286,4561",2699
7253,"9590,1159,11821",12818
12346,"195,5902",10082
687,"7804,2336",3363
4259,"3002,8156,4655,11258,4537,2980,10756",1091
2111,1890,5458
6043,7170,6559
7447,"4734,3663,6508",4131
10888,6063,2152
13058,5496,11938
6525,"9022,7503",2805
12056,"744,12023,5382,3364,8192,12252,8546,10207",11416
8559,2365,7365
2067,"4280,1214,13987,11245,7755",10209
11624,"7734,9402,5024,257,199,2914",8302
13944,"6590,7375",9821
11767,"3399,5622,7744,9505",9006
6757,"11290,12623,2630,8366,6858,11331",8858
7656,"14211,5995,7053,5099,13766",1879
13196,"5648,5773,10184,7219",10268
13550,2165,8000
1310,10770,8951
10032,"2755,14150,5051,7675,12125,11682,3336",7076
1712,"14156,8199,4979,3933,12179,341,4312",12765
1041,"5211,2050,10584,7861",3639
2785,13595,12160
742,7059,8190
13875,"14260,8865,1335,2663,11406,10353,14070,8643,346",10088
8500,3636,12035
9644,"4391,3561",3640
7722,"1756,8101",2045
11277,"11595,11251,1879",10735
4156,"5018,6250,11949,9617,6473,5569",13908
1582,"11651,4861",11831
8968,10207,11578
5352,"10538,13780,5538,6435,9232,11011",3641
4627,3384,5550
14421,"5198,8764,13325,10115",211
988,"10345,6572,7766,7459,8436,10999",1426
13647,"377,14361,6471,6544,2704",12228
4813,9731,9580
12903,"525,132",3684
2427,"1975,3330,10176,1109",14063
225,12097,9050
914,"12718,8425,265",515
12150,"6736,5564,11949",4338
12387,"992,14366,9592,11311,3848,2838",6312
11549,"6602,6185",1401
6998,"1326,7856,2348,11149,7335",1775
9081,"1861,7120,9946,2400,9413,7607",2561
7930,"12043,7687",11944
4720,6825,8355
12398,"5122,779,13069,14243,7618",9890
4581,7246,9989
9881,1993,14167
6780,"5902,11311",883
3085,7094,7934
2935,"14366,3348,12277,12670,4960",1355
11172,"3381,9462,9617,7350,11248",5214
1984,2127,7040
10243,"8910,6870",14557
4736,"3421,4120,2921,92,7514,3769",11975
5339,"12986,13726,6699",13984
5860,12680,2057
13242,11042,6808
4654,"8449,4279",8497
5001,"14260,1587,9883",11450
10530,4751,9827
10831,"8781,13350,4795,9217,13717,9959,11637,2660,37,11034",7953
13788,"7734,8132,423,10240",5052
7239,6702,7318
1058,11516,8872
14238,"10931,8919",10234
9752,"7394,7060,3120,8898,8585,13717",5161
8420,"4545,7734,12739,5147,10633,11234,2914,8567",5542
3551,5511,12232
1926,13249,14275
1032,"1856,4131,9468",11337
770,"4801,6735",747
13718,228,1558
4814,"3730,12813,2503,7432",5694
13257,"5318,9217",345
10439,"7046,1890,4151,7091,2672,1403,10554,14458",408
1717,"5285,11584,12576",60
7748,"1362,4980,14473,6873",4832
4544,"11654,14515,681",7706
6343,"13940,9487,11992",5685
12314,"6465,3868,4669,4365",6135
5390,162,2154
1954,"4697,12706,12366,2716,13555,4549,4718,13491,7704,341,11348,2627",9330
1192,"7198,8003",7597
1368,12266,2702
8126,"14071,9812,10502",8607
4891,"5357,6085,5786,8379",289
1845,"3487,12542",5586
12927,"4441,7256,7471,804,836,10038,5285",4591
7988,"7909,6282,8040,13081,5707",5704
1205,"6904,1292,12527",4331
11565,4376,4737
3455,"5284,2423,799,5652",3100
393,"2167,2888,1587",6135
5114,3973,11796
9118,"6014,10533,12033,3100,12510",1313
7556,"6649,14056,1338,9633,6466,2373,10744",4941
9381,3527,14064
11973,715,8874
13016,"13063,3930",1382
10065,"6725,11419",14287
2811,1278,2699
611,13138,568
6933,5709,7474
13768,118,11776
9599,"5165,7441,10287",1705
12421,6250,3177
424,10093,991
12401,"4246,3716,9946,2452,2637,10920,11743,10594",5161
12726,"9384,2921,7514,1078,10451,11766",1488
431,"10838,2309,7861",8851
2945,"4802,7984,12486,11277",2615
343,"1856,1662,11277,10735,4301,9961,9731,2199",211
10201,4214,5927
11023,"845,4669,1186",11327
7885,"9795,9728",2470
7288,"5910,2969,4365,1587,2996",2676
5028,"6618,4213,7487,6654,3113",13085
3136,3384,14345
4805,12604,8355
11225,4802,12680
13370,"3819,7351,10925,10179",10700
4425,"2883,3443,1660",4757
2043,"3675,1942",11704
1022,"3961,8908,12537,5330,10790,3716,5156,8585,196",578
11463,"4328,2583,1735",7508
3386,11042,11532
14320,"8960,5608,327,9844,2395",10393
7912,"3758,12146,11734,11459,9496,11279,5214",2474
13775,7710,13324
5286,"8473,3868,13742",7346
1950,4879,3826
12453,"10361,10930,1888,7194",11346
7270,"6773,9307,11252,1651",12764
499,"2401,12771",792
1064,"14222,5157,2032,2927",5946
7878,10896,3185
200,"5893,9980",10756
8001,13686,13646
7595,9585,9152
1050,"2243,5902",7512
3909,"314,5256",8849
2966,"7934,3451",6235
13700,"4136,7875,2480,12169,4123",11135
3294,"4852,12732,14268",5949
12805,"2846,11646,7454,5807",6782
5235,"6367,8175,1038",1065
13137,"14211,4123",9655
1362,"4256,9722,13845,3157,11900,13540,10458,4832",8048
5265,"5164,10049,10633,4545,3679",2914
7028,"13171,10741,13763,14240,8393,10173,10225,11211,5208,11499,6217",3875
404,"4719,13786,12041",8729
14550,12718,2728
11947,"751,11719,10119,4650,6316,7796",4175
11004,"12037,14260,2569",1587
13622,11278,3652
2388,"10788,10134,2334,3100,2387",3268
6637,7734,6283
595,"10538,13780,11627,5538,1163",3641
8971,"4120,7842",9919
4460,1196,11909
8713,12122,4288
12577,"9496,11524,2280",13043
6473,"1318,210,6250,4192",8540
4419,"11229,3790,14127",9776
4030,"9887,14211,13558,7271,11718,10119,13158,8408",6146
7940,"3146,996,9143,12564",6135
7048,"6224,10069,8533,6516,5647,1850,7883,4719,13859",4673
13324,7710,6937
13154,"4504,11584",8270
11626,"1294,4642,3633,2075,9329",11295
12022,"5357,12483,8379,8461,8448,2264",6826
6810,"7506,762,11364",12964
5586,"1942,12891,1004",6577
2491,2761,291
8958,"11516,3063,9495",5262
5143,"5648,10886,2423,11852,5892,7957",3100
13937,3419,11327
4227,"12903,1634",13929
12549,"2796,9204,11200,10650",6897
1323,"14466,2323,1857",14006
1142,"5211,5364,12018,11303,3123,8141,5207,4111",3639
30,"512,5938",1949
8877,"8949,11173,6844,2460,14344,6849,11359,29",871
8269,"4256,3635,992,1620,971,748,10357,4955,11288,9722,4730,12856",6882
3925,"3635,13773,9762,571,11288,9740",4698
5921,3460,14549
6324,"2924,8282,14441,5547,13244,711",3431
13713,"7278,6022,12018,5488",5203
4988,"7976,3033,10017,1421,8563,6663",14399
6327,4855,6960
8211,12161,11983
3661,"8431,2562",5319
6919,"1058,6759",167
9242,13440,4157
12131,"13299,13596,2383,9986,3088,14089",9700
808,"7585,14344,13798,6849",11931
6354,"10208,2480,11920,1802,2994",4217
10503,10262,3443
1034,"10091,6970,631,7758,8676",5005
5462,"10345,3460,6572,7766,12740,8996",14064
12992,"6785,11596,7766",10958
548,"1215,1980,9146",9833
9699,105,5445
6728,"4593,2951",4580
9779,"12607,2256,14540,14268,734",211
6746,"2583,2372,2604",4524
